file_name,training_time(s),test_result_loss,test_result_acc,train_result_acc,train_result_loss,nb_layers, manual_note
archi_resnet_1,133.41760396957397,0.05158547858372331,0.9867,0.9878,0.043863601165389024,35
archi_resnet_2,101.7284767627716,0.06637758006453515,0.9812,0.98511666,0.054572710359220705,26
archi_resnet_3,49.7662935256958,0.042992441733088346,0.9863,0.99128336,0.02889588650294269,12
archi_resnet_4,67.43184757232666,0.05270248282626271,0.983,0.9909833,0.029651782335030536,19
archi_resnet_5,73.55526423454285,0.07876871705884114,0.9762,0.984,0.04981890245523925,24
archi_resnet_6,48.690003633499146,0.03966463739816099,0.9893,0.9917,0.030017496589633326,13
archi_resnet_7,36.64930462837219,0.04799691660143435,0.9861,0.98828334,0.040764929402122896,10
archi_resnet_8,38.842573404312134,0.07320965850483627,0.9797,0.9841833,0.051596647049067544,10
archi_resnet_9,48.04121255874634,0.055540693611092866,0.9821,0.98843336,0.03800048903157003,13
archi_resnet_10,50.602211713790894,0.060413211610843426,0.9808,0.98726666,0.039519849992427046,12
archi_resnet_1,130.1653597354889,1.3695241144180297,0.513,0.56046,1.2266547886657715,36
archi_resnet_2,106.24060440063477,1.3071247552871703,0.537,0.56338,1.2250440293121339,37
archi_resnet_3,90.02616667747498,1.3294105808258057,0.5413,0.57438,1.2173266124725342,17
archi_resnet_4,95.78089332580566,1.3482582944869994,0.5206,0.55714,1.2403020985412598,26
archi_resnet_5,84.60359835624695,1.2254309099197387,0.5636,0.61252,1.096471774597168,20
archi_resnet_6,47.56466603279114,1.2616932905197145,0.5476,0.61602,1.0872775953674316,14
archi_resnet_7,99.5095911026001,1.315254344558716,0.527,0.57786,1.1833787748336793,50
archi_resnet_8,84.00003862380981,1.3641011054992676,0.5175,0.57468,1.2193815171051026,46
archi_resnet_9,94.02463483810425,1.381270641899109,0.5119,0.56614,1.2320869468688964,34
archi_resnet_10,156.10984086990356,1.2390399095535278,0.5709,0.61262,1.0975801565933228,27
archi_resnet_1,1373.3909118175507,2.30261577835083,0.1,0.1,2.3026157901000976,37
archi_resnet_2,60.09850788116455,1.485166146850586,0.4724,0.47868,1.4619212814712523,24
archi_resnet_3,27.10369896888733,1.8529642770767212,0.31,0.30992,1.857559732093811,6
archi_resnet_4,25.101914167404175,1.963735051727295,0.2978,0.28648,1.9708500716400146,5
archi_resnet_5,232.83011937141418,2.302656311035156,0.1,0.1,2.3026563230895998,21
archi_resnet_6,36.285521507263184,1.558995132637024,0.4336,0.43742,1.5397117543029786,16
archi_resnet_7,253.63075280189514,2.3023997158050538,0.1,0.1,2.3025222022247314,22,divergence
archi_resnet_8,3389.245374441147,1.3779654823303222,0.5172,0.53926,1.311774934272766,53
archi_resnet_9,56.30224823951721,1.5980663944244384,0.426,0.42902,1.5877821201324462,18
archi_resnet_10,84.33005714416504,1.3058507879257202,0.5326,0.5509,1.2452796333312988,18
